,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_speed,Country,Date
0,Paris,48.85,2.35,11.67,100,13,1.0,FR,1604895279
1,London,51.51,-0.13,13.33,93,90,1.0,GB,1604895851
2,Oslo,59.91,10.75,1.11,91,61,0.76,NO,1604895701
3,Beijing,39.91,116.4,15.0,19,0,1.0,CN,1604895510
4,Mumbai,19.01,72.85,29.0,42,0,3.1,IN,1604895216
5,Manila,14.6,120.98,29.44,83,75,3.1,PH,1604895378
6,New York,40.71,-74.01,15.56,76,1,2.1,US,1604895809
7,Seattle,47.61,-122.33,5.0,55,1,0.56,US,1604895740
8,Dallas,32.77,-96.78,19.0,82,1,4.1,US,1604895726
9,Taipei,25.05,121.53,21.11,77,75,5.7,TW,1604895563
